"","airport_id","name","city","country","iata","icao","latitude","longitude","altitude","timezone","dst","database_timezone","type","source"
"NNA",1076,"Kenitra Airport","Kentira","Morocco","NNA","GMMY",34.298900604248,-6.59588003158569,16,"0","N","Africa/Casablanca","airport","OurAirports"
"OZZ",1077,"Ouarzazate Airport","Ouarzazate","Morocco","OZZ","GMMZ",30.9391002655,-6.90943002701,3782,"0","N","Africa/Casablanca","airport","OurAirports"
"AHU",1078,"Cherif Al Idrissi Airport","Al Hociema","Morocco","AHU","GMTA",35.1771011352539,-3.83951997756958,95,"0","N","Africa/Casablanca","airport","OurAirports"
"TTU",1079,"Saniat R'mel Airport","Tetouan","Morocco","TTU","GMTN",35.594299316406,-5.320020198822,10,"0","N","Africa/Casablanca","airport","OurAirports"
"TNG",1080,"Ibn Batouta Airport","Tanger","Morocco","TNG","GMTT",35.7268981934,-5.91689014435,62,"0","N","Africa/Casablanca","airport","OurAirports"
"ZIG",1081,"Ziguinchor Airport","Ziguinchor","Senegal","ZIG","GOGG",12.5556,-16.281799,75,"0","N","Africa/Dakar","airport","OurAirports"
"CSK",1082,"Cap Skirring Airport","Cap Skiring","Senegal","CSK","GOGS",12.39533,-16.748,52,"0","N","Africa/Dakar","airport","OurAirports"
"KLC",1083,"Kaolack Airport","Kaolack","Senegal","KLC","GOOK",14.146900177002,-16.0513000488281,26,"0","N","Africa/Dakar","airport","OurAirports"
"DKR",1084,"Léopold Sédar Senghor International Airport","Dakar","Senegal","DKR","GOOY",14.7397003173828,-17.4902000427246,85,"0","N","Africa/Dakar","airport","OurAirports"
"XLS",1085,"Saint Louis Airport","St. Louis","Senegal","XLS","GOSS",16.0508003234863,-16.4631996154785,9,"0","N","Africa/Dakar","airport","OurAirports"
"BXE",1086,"Bakel Airport","Bakel","Senegal","BXE","GOTB",14.8472995758057,-12.4682998657227,98,"0","N","Africa/Dakar","airport","OurAirports"
"KGG",1087,"Kédougou Airport","Kedougou","Senegal","KGG","GOTK",12.5722999572754,-12.2202997207642,584,"0","N","Africa/Dakar","airport","OurAirports"
"TUD",1088,"Tambacounda Airport","Tambacounda","Senegal","TUD","GOTT",13.7368001937866,-13.6531000137329,161,"0","N","Africa/Dakar","airport","OurAirports"
"AEO",1089,"Aioun el Atrouss Airport","Aioun El Atrouss","Mauritania","AEO","GQNA",16.7112998962402,-9.63788032531738,951,"0","N","Africa/Nouakchott","airport","OurAirports"
"TIY",1090,"Tidjikja Airport","Tidjikja","Mauritania","TIY","GQND",18.5701007843018,-11.4235000610352,1363,"0","N","Africa/Nouakchott","airport","OurAirports"
"KFA",1091,"Kiffa Airport","Kiffa","Mauritania","KFA","GQNF",16.5900001525879,-11.4062004089355,424,"0","N","Africa/Nouakchott","airport","OurAirports"
"EMN",1092,"Néma Airport","Nema","Mauritania","EMN","GQNI",16.6219997406006,-7.31659984588623,751,"0","N","Africa/Nouakchott","airport","OurAirports"
"KED",1093,"Kaédi Airport","Kaedi","Mauritania","KED","GQNK",16.1595001220703,-13.5075998306274,66,"0","N","Africa/Nouakchott","airport","OurAirports"
"NKC",1094,"Nouakchott–Oumtounsy International Airport","Nouakschott","Mauritania","NKC","GQNO",18.31,-15.9697222,9,"0","N","Africa/Nouakchott","airport","OurAirports"
"SEY",1095,"Sélibaby Airport","Selibabi","Mauritania","SEY","GQNS",15.1796998977661,-12.2073001861572,219,"0","N","Africa/Nouakchott","airport","OurAirports"
"ATR",1096,"Atar International Airport","Atar","Mauritania","ATR","GQPA",20.506799697876,-13.0431995391846,734,"0","N","Africa/Nouakchott","airport","OurAirports"
"NDB",1097,"Nouadhibou International Airport","Nouadhibou","Mauritania","NDB","GQPP",20.9330997467041,-17.0300006866455,24,"0","N","Africa/Nouakchott","airport","OurAirports"
"FIG",1099,"Fria Airport","Fira","Guinea","FIG","GUFA",10.350600242615,-13.569199562073,499,"0","N","Africa/Conakry","airport","OurAirports"
"FAA",1100,"Faranah Airport","Faranah","Guinea","FAA","GUFH",10.0354995728,-10.7698001862,1476,"0","N","Africa/Conakry","airport","OurAirports"
"LEK",1101,"Tata Airport","Labe","Guinea","LEK","GULB",11.326100349426,-12.286800384521,3396,"0","N","Africa/Conakry","airport","OurAirports"
"SID",1102,"Amílcar Cabral International Airport","Amilcar Cabral","Cape Verde","SID","GVAC",16.7414,-22.9494,177,"-1","U","Atlantic/Cape_Verde","airport","OurAirports"
"BVC",1103,"Rabil Airport","Boa Vista","Cape Verde","BVC","GVBA",16.1364994049072,-22.8889007568359,69,"-1","U","Atlantic/Cape_Verde","airport","OurAirports"
"MMO",1104,"Maio Airport","Maio","Cape Verde","MMO","GVMA",15.1559000015259,-23.2136993408203,36,"-1","U","Atlantic/Cape_Verde","airport","OurAirports"
"SNE",1105,"Preguiça Airport","Sao Nocolau Island","Cape Verde","SNE","GVSN",16.588399887085,-24.2847003936768,669,"-1","U","Atlantic/Cape_Verde","airport","OurAirports"
"VXE",1106,"São Pedro Airport","Sao Vicente Island","Cape Verde","VXE","GVSV",16.8332004547119,-25.0552997589111,66,"-1","U","Atlantic/Cape_Verde","airport","OurAirports"
"ADD",1107,"Addis Ababa Bole International Airport","Addis Ababa","Ethiopia","ADD","HAAB",8.97789001465,38.7993011475,7630,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"AMH",1109,"Arba Minch Airport","Arba Minch","Ethiopia","AMH","HAAM",6.03939008712769,37.5904998779297,3901,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"AXU",1110,"Axum Airport","Axum","Ethiopia","AXU","HAAX",14.1468000411987,38.7728004455566,6959,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"BJR",1111,"Bahir Dar Airport","Bahar Dar","Ethiopia","BJR","HABD",11.608099937439,37.3216018676758,5978,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"DIR",1112,"Aba Tenna Dejazmach Yilma International Airport","Dire Dawa","Ethiopia","DIR","HADR",9.62469959259033,41.8541984558105,3827,"3","U","Africa/Addis_Ababa","airport","OurAirports"
"GMB",1113,"Gambella Airport","Gambella","Ethiopia","GMB","HAGM",8.12876033782959,34.5630989074707,1614,"3","U","Africa/Addis_Ababa","airport","OurAirports"
